0 4 8
3074 6 2
3084 20 128
3104 10 136
3114 6 2
3124 20 128
3144 10 136
3154 6 2
3164 20 128
3184 10 136
3194 6 2
3204 20 128
3224 10 136
3234 6 2
3244 20 128
3264 10 136
3274 6 2
3284 20 128
3304 10 136
3314 6 2
3324 4 8
3328 20 128
3348 10 136
3358 6 2
3368 20 128
3388 10 136
3398 6 2
3408 20 128
3428 10 136
3438 6 2
3448 20 128
3468 10 136
3478 6 2
3488 20 128
3508 10 136
3518 6 2
3528 20 128
3548 10 136
3558 6 2
3568 20 128
3588 10 136
3598 6 2
3608 4 8
3612 20 128
3632 10 136
3642 6 2
3652 20 128
3672 10 136
3682 6 2
3692 20 128
3712 10 136
3722 6 2
3732 20 128
3752 10 136
3762 6 2
3772 20 128
3792 10 136
3802 6 2
3812 20 128
3832 10 136
3842 6 2
3852 20 128
3872 10 136
3882 6 2
3892 4 8
3896 20 128
3916 10 136
3926 6 2
3936 20 128
3956 10 136
3966 6 2
3976 20 128
3996 10 136
4006 6 2
4016 20 128
4036 10 136
4046 6 2
4056 20 128
4076 10 136
4086 6 2
4096 20 128
4116 10 136
4126 6 2
4136 20 128
4156 10 136
4166 6 2
4176 4 8
4180 20 128
4200 10 136
4210 6 2
4220 20 128
4240 10 136
4250 6 2
4260 20 128
4280 10 136
4290 6 2
4300 20 128
4320 10 136
4330 6 2
4340 20 128
4360 10 136
4370 6 2
4380 20 128
4400 10 136
4410 6 2
4420 20 128
4440 10 136
4450 6 2
4460 4 8
4464 20 128
4484 10 136
4494 6 2
4504 20 128
4524 10 136
4534 6 2
4544 20 128
4564 10 136
4574 6 2
4584 20 128
4604 10 136
4614 6 2
4624 20 128
4644 10 136
4654 6 2
4664 20 128
4684 10 136
4694 6 2
4704 20 128
4724 10 136
4734 6 2
4744 4 8
4748 20 128
4768 10 136
4778 6 2
4788 20 128
4808 10 136
4818 6 2
4828 20 128
4848 10 136
4858 6 2
4868 20 128
4888 10 136
4898 6 2
4908 20 128
4928 10 136
4938 6 2
4948 20 128
4968 10 136
4978 6 2
4988 20 128
5008 10 136
5018 6 2
5028 4 8
5032 20 128
5052 10 136
5062 6 2
5072 20 128
5092 10 136
5102 6 2
5112 20 128
5132 10 136
5142 6 2
5152 20 128
5172 10 136
5182 6 2
5192 20 128
5212 10 136
5222 6 2
5232 20 128
5252 10 136
5262 6 2
5272 20 128
5292 10 136
5302 6 2
5312 4 8
5316 20 128
5336 10 136
5346 6 2
5356 20 128
5376 10 136
5386 6 2
5396 20 128
5416 10 136
5426 6 2
5436 20 128
5456 10 136
5466 6 2
5476 20 128
5496 10 136
5506 6 2
5516 20 128
5536 10 136
5546 6 2
5556 20 128
5576 10 136
5586 6 2
5596 4 8
5600 20 128
5620 10 136
5630 6 2
5640 20 128
5660 10 136
5670 6 2
5680 20 128
5700 10 136
5710 6 2
5720 20 128
5740 10 136
5750 6 2
5760 20 128
5780 10 136
5790 6 2
5800 20 128
5820 10 136
5830 6 2
5840 20 128
5860 10 136
5870 6 2
5880 4 8
5884 20 128
5904 10 136
5914 6 2
5924 20 128
5944 10 136
5954 6 2
5964 20 128
5984 10 136
5994 6 2
6004 20 128
6024 10 136
6034 6 2
6044 20 128
6064 10 136
6074 6 2
6084 20 128
6104 10 136
6114 6 2
6124 20 128
6144 10 136
6154 6 2
6164 4 8
6168 20 128
6188 10 136
6198 6 2
6208 20 128
6228 10 136
6238 6 2
6248 20 128
6268 10 136
6278 6 2
6288 20 128
6308 10 136
6318 6 2
6328 20 128
6348 10 136
6358 6 2
6368 20 128
6388 10 136
6398 6 2
6408 20 128
6428 10 136
6438 6 2
6448 4 8
6452 20 128
6472 10 136
6482 6 2
6492 20 128
6512 10 136
6522 6 2
6532 20 128
6552 10 136
6562 6 2
6572 20 128
6592 10 136
6602 6 2
6612 20 128
6632 10 136
6642 6 2
6652 20 128
6672 10 136
6682 6 2
6692 20 128
6712 10 136
6722 6 2
6732 4 8
6736 20 128
6756 10 136
6766 6 2
6776 20 128
6796 10 136
6806 6 2
6816 20 128
6836 10 136
6846 6 2
6856 20 128
6876 10 136
6886 6 2
6896 20 128
6916 10 136
6926 6 2
6936 20 128
6956 10 136
6966 6 2
6976 20 128
6996 10 136
7006 6 2
7016 4 8
7020 20 128
7040 10 136
7050 6 2
7060 20 128
7080 10 136
7090 6 2
7100 20 128
7120 10 136
7130 6 2
7140 20 128
7160 10 136
7170 6 2
7180 20 128
7200 10 136
7210 6 2
7220 20 128
7240 10 136
7250 6 2
7260 20 128
7280 10 136
7290 6 2
7300 4 8
7304 20 128
7324 10 136
7334 6 2
7344 20 128
7364 10 136
7374 6 2
7384 20 128
7404 10 136
7414 6 2
7424 20 128
7444 10 136
7454 6 2
7464 20 128
7484 10 136
7494 6 2
7504 20 128
7524 10 136
7534 6 2
7544 20 128
7564 10 136
7574 6 2
7584 4 8
7588 20 128
7608 10 136
7618 6 2
7628 20 128
7648 10 136
7658 6 2
7668 20 128
7688 10 136
7698 6 2
7708 20 128
7728 10 136
7738 6 2
7748 20 128
7768 10 136
7778 6 2
7788 20 128
7808 10 136
7818 6 2
7828 20 128
7848 10 136
7858 6 2
7868 4 8
7872 20 128
7892 10 136
7902 6 2
7912 20 128
7932 10 136
7942 6 2
7952 20 128
7972 10 136
7982 6 2
7992 20 128
8012 10 136
8022 6 2
8032 20 128
8052 10 136
8062 6 2
8072 20 128
8092 10 136
8102 6 2
8112 20 128
8132 10 136
8142 6 2
8152 4 8
8156 20 128
8176 10 136
8186 6 2
8196 20 128
8216 10 136
8226 6 2
8236 20 128
8256 10 136
8266 6 2
8276 20 128
8296 10 136
8306 6 2
8316 20 128
8336 10 136
8346 6 2
8356 20 128
8376 10 136
8386 6 2
8396 20 128
8416 10 136
8426 6 2
8436 4 8
8440 20 128
8460 10 136
8470 6 2
8480 20 128
8500 10 136
8510 6 2
8520 20 128
8540 10 136
8550 6 2
8560 20 128
8580 10 136
8590 6 2
8600 20 128
8620 10 136
8630 6 2
8640 20 128
8660 10 136
8670 6 2
8680 20 128
8700 10 136
8710 6 2
8720 4 8
8724 20 128
8744 10 136
8754 6 2
8764 20 128
8784 10 136
8794 6 2
